"order_id","segment_type","czas_dostawy"
"1312","STOP","194"
"1273","STOP","341"
"1036","STOP","0"
"2178","STOP","104"
"331","STOP","175"
"2221","STOP","146"
"355","STOP","273"
"1469","STOP","0"
"1461","STOP","135"
"2222","STOP","0"
"1427","STOP","140"
"1174","STOP","151"
"265","STOP","133"
"1817","STOP","283"
"809","STOP","383"
"2120","STOP","32"
"351","STOP","101"
"1325","STOP","556"
"2129","STOP","49"
"1359","STOP","478"
"467","STOP","59"
"1047","STOP","108"
"1145","STOP","93"
"2186","STOP","193"
"556","STOP","72"
"304","STOP","240"
"414","STOP","290"
"1999","STOP","0"
"1210","STOP","193"
"1962","STOP","58"
"27","STOP","67"
"231","STOP","209"
"2185","STOP","280"
"48","STOP","0"
"1732","STOP","192"
"1577","STOP","109"
"2161","STOP","134"
"152","STOP","121"
"328","STOP","253"
"66","STOP","296"
"1591","STOP","181"
"235","STOP","372"
"846","STOP","145"
"2083","STOP","190"
"1006","STOP","62"
"944","STOP","100"
"186","STOP","185"
"1531","STOP","117"
"1822","STOP","134"
"1822","STOP","134"
"1007","STOP","118"
"1669","STOP","197"
"2188","STOP","218"
"627","STOP","75"
"629","STOP","0"
"1624","STOP","0"
"1284","STOP","217"
"239","STOP","129"
"2062","STOP","40"
"1341","STOP","-65"
"1686","STOP","340"
"969","STOP","374"
"610","STOP","-207"
"588","STOP","151"
"121","STOP","389"
"1429","STOP","143"
"1259","STOP","516"
"1173","STOP","422"
"1476","STOP","298"
"1906","STOP","360"
"44","STOP","228"
"2008","STOP","74"
"1769","STOP","108"
"1230","STOP","106"
"1989","STOP","185"
"948","STOP","208"
"2035","STOP","309"
"469","STOP","90"
"546","STOP","143"
"1620","STOP","66"
"273","STOP","211"
"1660","STOP","73"
"966","STOP","212"
"771","STOP","272"
"1159","STOP","117"
"1277","STOP","116"
"967","STOP","305"
"916","STOP","142"
"1585","STOP","74"
"2169","STOP","137"
"1841","STOP","217"
"709","STOP","65"
"1958","STOP","38"
"170","STOP","89"
"1515","STOP","0"
"1073","STOP","213"
"1928","STOP","0"
"2036","STOP","62"
"272","STOP","268"
"1347","STOP","278"
"1932","STOP","304"
"1718","STOP","78"
"982","STOP","162"
"255","STOP","211"
"45","STOP","77"
"685","STOP","66"
"2032","STOP","170"
"2071","STOP","291"
"1595","STOP","118"
"1656","STOP","130"
"1681","STOP","323"
"1627","STOP","96"
"212","STOP","0"
"626","STOP","151"
"961","STOP","226"
"979","STOP","276"
"245","STOP","189"
"885","STOP","150"
"563","STOP","148"
"1771","STOP","407"
"1571","STOP","125"
"2002","STOP","0"
"1890","STOP","58"
"1124","STOP","250"
"2122","STOP","99"
"773","STOP","178"
"813","STOP","151"
"754","STOP","130"
"1684","STOP","273"
"2229","STOP","74"
"1245","STOP","169"
"2021","STOP","0"
"1935","STOP","127"
"493","STOP","55"
"869","STOP","43"
"163","STOP","96"
"1545","STOP","275"
"1087","STOP","308"
"240","STOP","255"
"815","STOP","70"
"1752","STOP","136"
"1794","STOP","198"
"383","STOP","236"
"1301","STOP","68"
"1557","STOP","432"
"1633","STOP","185"
"839","STOP","221"
"1009","STOP","77"
"1306","STOP","207"
"690","STOP","220"
"991","STOP","271"
"260","STOP","142"
"10","STOP","153"
"132","STOP","103"
"1707","STOP","304"
"858","STOP","170"
"1154","STOP","158"
"128","STOP","415"
"1630","STOP","33"
"1322","STOP","245"
"322","STOP","82"
"1744","STOP","153"
"1783","STOP","662"
"1165","STOP","465"
"1026","STOP","29"
"1931","STOP","173"
"963","STOP","87"
"1454","STOP","50"
"1708","STOP","177"
"2011","STOP","197"
"702","STOP","99"
"56","STOP","149"
"319","STOP","458"
"1426","STOP","132"
"2180","STOP","64"
"898","STOP","113"
"2146","STOP","169"
"990","STOP","102"
"1706","STOP","183"
"1982","STOP","92"
"2150","STOP","288"
"1632","STOP","159"
"461","STOP","14501"
"404","STOP","209"
"2060","STOP","147"
"78","STOP","86"
"1733","STOP","152"
"1674","STOP","120"
"1044","STOP","50"
"913","STOP","262"
"723","STOP","272"
"881","STOP","64"
"574","STOP","139"
"1195","STOP","100"
"378","STOP","254"
"1170","STOP","39"
"167","STOP","162"
"718","STOP","332"
"1499","STOP","104"
"1703","STOP","176"
"900","STOP","143"
"4","STOP","81"
"1880","STOP","433"
"486","STOP","92"
"735","STOP","109"
"1101","STOP","111"
"720","STOP","78"
"87","STOP","314"
"388","STOP","192"
"1799","STOP","94"
"275","STOP","278"
"1061","STOP","154"
"1354","STOP","285"
"1957","STOP","0"
"663","STOP","116"
"371","STOP","226"
"507","STOP","151"
"401","STOP","96"
"1558","STOP","225"
"35","STOP","179"
"1785","STOP","59"
"380","STOP","200"
"320","STOP","170"
"2095","STOP","396"
"1949","STOP","342"
"1177","STOP","0"
"832","STOP","152"
"1899","STOP","351"
