"sector_id","actual_duration"
"1","194"
"3","341"
"3","0"
"3","104"
"3","175"
"1","146"
"2","273"
"3","0"
"3","135"
"3","0"
"3","140"
"2","151"
"3","133"
"3","283"
"2","383"
"2","32"
"2","101"
"1","556"
"1","49"
"1","478"
"3","59"
"3","108"
"2","93"
"2","193"
"3","72"
"2","240"
"2","290"
"2","0"
"1","193"
"2","58"
"2","67"
"3","209"
"1","280"
"3","0"
"2","192"
"1","109"
"2","134"
"1","121"
"1","253"
"1","296"
"1","181"
"2","372"
"1","145"
"3","190"
"3","62"
"2","100"
"2","185"
"1","117"
"3","134"
"3","134"
"3","118"
"2","197"
"2","218"
"1","75"
"1","0"
"3","0"
"1","217"
"2","129"
"3","40"
"3","-65"
"1","340"
"1","374"
"3","-207"
"2","151"
"3","389"
"2","143"
"1","516"
"2","422"
"3","298"
"1","360"
"2","228"
"1","74"
"2","108"
"1","106"
"3","185"
"1","208"
"3","309"
"2","90"
"3","143"
"3","66"
"2","211"
"3","73"
"2","212"
"1","272"
"1","117"
"1","116"
"1","305"
"2","142"
"1","74"
"2","137"
"1","217"
"2","65"
"2","38"
"1","89"
"3","0"
"3","213"
"1","0"
"2","62"
"3","268"
"3","278"
"2","304"
"3","78"
"2","162"
"3","211"
"2","77"
"1","66"
"2","170"
"3","291"
"1","118"
"2","130"
"3","323"
"2","96"
"2","0"
"2","151"
"3","226"
"1","276"
"3","189"
"3","150"
"3","148"
"1","407"
"1","125"
"1","0"
"2","58"
"2","250"
"1","99"
"1","178"
"3","151"
"2","130"
"3","273"
"3","74"
"3","169"
"2","0"
"3","127"
"3","55"
"2","43"
"1","96"
"1","275"
"1","308"
"1","255"
"3","70"
"3","136"
"2","198"
"1","236"
"1","68"
"1","432"
"3","185"
"2","221"
"3","77"
"2","207"
"3","220"
"1","271"
"2","142"
"2","153"
"2","103"
"3","304"
"2","170"
"2","158"
"1","415"
"2","33"
"1","245"
"2","82"
"1","153"
"1","662"
"1","465"
"2","29"
"2","173"
"2","87"
"3","50"
"2","177"
"3","197"
"1","99"
"3","149"
"1","458"
"3","132"
"3","64"
"3","113"
"3","169"
"1","102"
"2","183"
"3","92"
"2","288"
"2","159"
"2","14501"
"1","209"
"2","147"
"2","86"
"2","152"
"1","120"
"3","50"
"3","262"
"1","272"
"3","64"
"3","139"
"1","100"
"3","254"
"3","39"
"1","162"
"1","332"
"3","104"
"3","176"
"1","143"
"2","81"
"3","433"
"2","92"
"1","109"
"2","111"
"3","78"
"3","314"
"2","192"
"1","94"
"1","278"
"1","154"
"1","285"
"1","0"
"3","116"
"1","226"
"3","151"
"3","96"
"2","225"
"1","179"
"2","59"
"2","200"
"2","170"
"1","396"
"3","342"
"1","0"
"3","152"
"2","351"
"3","185"
"3","186"
"2","64"
"1","240"
"3","227"
"1","219"
"1","268"
"1","234"
"3","75"
"2","253"
"3","62"
"2","137"
"3","136"
"3","0"
"3","73"
"1","247"
"2","212"
"3","0"
"1","458"
"2","201"
"1","397"
"1","140"
"2","220"
"3","82"
"3","99"
"3","84"
"1","220"
"3","177"
"2","130"
"1","319"
"1","230"
"1","228"
"3","123"
"1","94"
"3","152"
"1","190"
"2","157"
"3","147"
"2","55"
"1","124"
"3","65"
"1","71"
"3","59"
"1","370"
"1","285"
