"order_id","segment_start_time","segment_end_time","actual_duration","driver_id","sector_id","product_id","quantity","weight"
"1312","9/2/2024 14:58:42","9/2/2024 15:01:56","194","4","1","30","1","818"
"1273","24/2/2024 09:26:31","24/2/2024 09:32:12","341","4","3","12","2","1447"
"1273","24/2/2024 09:26:31","24/2/2024 09:32:12","341","4","3","37","3","1218"
"1273","24/2/2024 09:26:31","24/2/2024 09:32:12","341","4","3","56","1","318"
"1273","24/2/2024 09:26:31","24/2/2024 09:32:12","341","4","3","87","1","982"
"1273","24/2/2024 09:26:31","24/2/2024 09:32:12","341","4","3","95","3","1491"
"1036","24/2/2024 20:26:23","24/2/2024 20:26:23","0","1","3","80","3","414"
"1036","24/2/2024 20:26:23","24/2/2024 20:26:23","0","1","3","92","3","245"
"2178","23/2/2024 09:39:03","23/2/2024 09:40:47","104","2","3","32","3","1754"
"2178","23/2/2024 09:39:03","23/2/2024 09:40:47","104","2","3","90","1","1654"
"331","26/2/2024 07:03:21","26/2/2024 07:06:16","175","4","3","21","1","259"
"331","26/2/2024 07:03:21","26/2/2024 07:06:16","175","4","3","71","2","1378"
"2221","16/2/2024 04:37:40","16/2/2024 04:40:06","146","1","1","25","3","1963"
"2221","16/2/2024 04:37:40","16/2/2024 04:40:06","146","1","1","47","3","310"
"2221","16/2/2024 04:37:40","16/2/2024 04:40:06","146","1","1","67","3","628"
"355","18/2/2024 21:18:21","18/2/2024 21:22:54","273","4","2","9","3","237"
"355","18/2/2024 21:18:21","18/2/2024 21:22:54","273","4","2","58","2","1220"
"355","18/2/2024 21:18:21","18/2/2024 21:22:54","273","4","2","88","2","1223"
"355","18/2/2024 21:18:21","18/2/2024 21:22:54","273","4","2","99","2","1557"
"1469","2/2/2024 07:06:35","2/2/2024 07:06:35","0","2","3","8","1","1497"
"1469","2/2/2024 07:06:35","2/2/2024 07:06:35","0","2","3","14","2","189"
"1461","2/2/2024 21:06:43","2/2/2024 21:08:58","135","2","3","32","1","1754"
"1461","2/2/2024 21:06:43","2/2/2024 21:08:58","135","2","3","40","1","641"
"1461","2/2/2024 21:06:43","2/2/2024 21:08:58","135","2","3","58","2","1220"
"1461","2/2/2024 21:06:43","2/2/2024 21:08:58","135","2","3","65","3","1830"
"1461","2/2/2024 21:06:43","2/2/2024 21:08:58","135","2","3","66","2","703"
"2222","21/2/2024 15:27:26","21/2/2024 15:27:26","0","1","3","52","3","1306"
"2222","21/2/2024 15:27:26","21/2/2024 15:27:26","0","1","3","64","2","1956"
"2222","21/2/2024 15:27:26","21/2/2024 15:27:26","0","1","3","69","1","1020"
"2222","21/2/2024 15:27:26","21/2/2024 15:27:26","0","1","3","82","2","1776"
"2222","21/2/2024 15:27:26","21/2/2024 15:27:26","0","1","3","97","3","761"
"1427","22/2/2024 18:24:15","22/2/2024 18:26:35","140","3","3","21","1","259"
"1427","22/2/2024 18:24:15","22/2/2024 18:26:35","140","3","3","84","3","1675"
"1174","2/2/2024 14:20:59","2/2/2024 14:23:30","151","2","2","14","3","189"
"1174","2/2/2024 14:20:59","2/2/2024 14:23:30","151","2","2","42","2","1976"
"1174","2/2/2024 14:20:59","2/2/2024 14:23:30","151","2","2","69","3","1020"
"1174","2/2/2024 14:20:59","2/2/2024 14:23:30","151","2","2","82","2","1776"
"265","7/2/2024 08:22:27","7/2/2024 08:24:40","133","2","3","15","3","764"
"265","7/2/2024 08:22:27","7/2/2024 08:24:40","133","2","3","52","1","1306"
"265","7/2/2024 08:22:27","7/2/2024 08:24:40","133","2","3","79","2","1599"
"1817","12/2/2024 19:09:29","12/2/2024 19:14:12","283","4","3","20","3","1974"
"1817","12/2/2024 19:09:29","12/2/2024 19:14:12","283","4","3","28","2","1789"
"1817","12/2/2024 19:09:29","12/2/2024 19:14:12","283","4","3","38","2","653"
"1817","12/2/2024 19:09:29","12/2/2024 19:14:12","283","4","3","42","2","1976"
"1817","12/2/2024 19:09:29","12/2/2024 19:14:12","283","4","3","90","1","1654"
"809","26/2/2024 09:28:53","26/2/2024 09:35:16","383","4","2","22","1","407"
"809","26/2/2024 09:28:53","26/2/2024 09:35:16","383","4","2","55","3","1734"
"809","26/2/2024 09:28:53","26/2/2024 09:35:16","383","4","2","61","3","943"
"809","26/2/2024 09:28:53","26/2/2024 09:35:16","383","4","2","86","3","670"
"2120","28/2/2024 09:43:53","28/2/2024 09:44:25","32","1","2","32","1","1754"
"351","13/2/2024 03:05:59","13/2/2024 03:07:40","101","1","2","16","2","750"
"351","13/2/2024 03:05:59","13/2/2024 03:07:40","101","1","2","49","2","728"
"351","13/2/2024 03:05:59","13/2/2024 03:07:40","101","1","2","52","3","1306"
"351","13/2/2024 03:05:59","13/2/2024 03:07:40","101","1","2","59","3","1779"
"351","13/2/2024 03:05:59","13/2/2024 03:07:40","101","1","2","94","3","1168"
"1325","1/2/2024 02:50:54","1/2/2024 03:00:10","556","4","1","23","1","546"
"1325","1/2/2024 02:50:54","1/2/2024 03:00:10","556","4","1","53","1","396"
"1325","1/2/2024 02:50:54","1/2/2024 03:00:10","556","4","1","68","2","1895"
"1325","1/2/2024 02:50:54","1/2/2024 03:00:10","556","4","1","79","3","1599"
"1325","1/2/2024 02:50:54","1/2/2024 03:00:10","556","4","1","88","2","1223"
"2129","23/2/2024 20:35:49","23/2/2024 20:36:38","49","1","1","64","1","1956"
"1359","28/2/2024 06:45:54","28/2/2024 06:53:52","478","4","1","53","1","396"
"1359","28/2/2024 06:45:54","28/2/2024 06:53:52","478","4","1","58","1","1220"
"1359","28/2/2024 06:45:54","28/2/2024 06:53:52","478","4","1","67","2","628"
"1359","28/2/2024 06:45:54","28/2/2024 06:53:52","478","4","1","69","1","1020"
"1359","28/2/2024 06:45:54","28/2/2024 06:53:52","478","4","1","98","3","1184"
"467","17/2/2024 18:45:32","17/2/2024 18:46:31","59","1","3","10","3","860"
"467","17/2/2024 18:45:32","17/2/2024 18:46:31","59","1","3","16","1","750"
